Date,Product,Seller,Sales
6/1/2024,BMW,Prince,26
7/1/2024,BMW,Prince,8
8/1/2024,BMW,Prince,7
6/1/2024,Mercedes Benz,Prince,32
7/1/2024,Mercedes Benz,Prince,40
8/1/2024,Mercedes Benz,Prince,46
6/1/2024,Volkswagen,Prince,13
7/1/2024,Volkswagen,Prince,29
8/1/2024,Volkswagen,Prince,12
6/1/2024,Audi,Prince,3
7/1/2024,Audi,Prince,50
8/1/2024,Audi,Prince,14
6/1/2024,Porsche,Prince,5
7/1/2024,Porsche,Prince,48
8/1/2024,Porsche,Prince,23
6/1/2024,BMW,Robin,6
7/1/2024,BMW,Robin,3
8/1/2024,BMW,Robin,29
6/1/2024,Mercedes Benz,Robin,27
7/1/2024,Mercedes Benz,Robin,38
8/1/2024,Mercedes Benz,Robin,13
6/1/2024,Volkswagen,Robin,5
7/1/2024,Volkswagen,Robin,32
8/1/2024,Volkswagen,Robin,36
6/1/2024,Audi,Robin,3
7/1/2024,Audi,Robin,36
8/1/2024,Audi,Robin,10
6/1/2024,Porsche,Robin,43
7/1/2024,Porsche,Robin,24
8/1/2024,Porsche,Robin,32
6/1/2024,BMW,George,6
7/1/2024,BMW,George,15
8/1/2024,BMW,George,13
6/1/2024,Mercedes Benz,George,45
7/1/2024,Mercedes Benz,George,20
8/1/2024,Mercedes Benz,George,43
6/1/2024,Volkswagen,George,2
7/1/2024,Volkswagen,George,40
8/1/2024,Volkswagen,George,27
6/1/2024,Audi,George,16
7/1/2024,Audi,George,50
8/1/2024,Audi,George,47
6/1/2024,Porsche,George,38
7/1/2024,Porsche,George,23
8/1/2024,Porsche,George,44
