Date,Product,Seller,Sales
6/1/2024,Cellphone,Prince,26
7/1/2024,Cellphone,Prince,8
8/1/2024,Cellphone,Prince,7
6/1/2024,Headphone,Prince,32
7/1/2024,Headphone,Prince,40
8/1/2024,Headphone,Prince,46
6/1/2024,Keyboard,Prince,13
7/1/2024,Keyboard,Prince,29
8/1/2024,Keyboard,Prince,12
6/1/2024,Laptop,Prince,3
7/1/2024,Laptop,Prince,50
8/1/2024,Laptop,Prince,14
6/1/2024,Mouse,Prince,5
7/1/2024,Mouse,Prince,48
8/1/2024,Mouse,Prince,23
6/1/2024,Cellphone,Robin,6
7/1/2024,Cellphone,Robin,3
8/1/2024,Cellphone,Robin,29
6/1/2024,Headphone,Robin,27
7/1/2024,Headphone,Robin,38
8/1/2024,Headphone,Robin,13
6/1/2024,Keyboard,Robin,5
7/1/2024,Keyboard,Robin,32
8/1/2024,Keyboard,Robin,36
6/1/2024,Laptop,Robin,3
7/1/2024,Laptop,Robin,36
8/1/2024,Laptop,Robin,10
6/1/2024,Mouse,Robin,43
7/1/2024,Mouse,Robin,24
8/1/2024,Mouse,Robin,32
6/1/2024,Cellphone,George,6
7/1/2024,Cellphone,George,15
8/1/2024,Cellphone,George,13
6/1/2024,Headphone,George,45
7/1/2024,Headphone,George,20
8/1/2024,Headphone,George,43
6/1/2024,Keyboard,George,2
7/1/2024,Keyboard,George,40
8/1/2024,Keyboard,George,27
6/1/2024,Laptop,George,16
7/1/2024,Laptop,George,50
8/1/2024,Laptop,George,47
6/1/2024,Mouse,George,38
7/1/2024,Mouse,George,23
8/1/2024,Mouse,George,44
